Industry,Company_Size,Website_Quality,LinkedIn_Activity,Email_Available,Location,Estimated_Revenue,Number_of_Employees,Previous_Response,Meeting_Status,Lead_Quality
Education,Medium,Good,Low,Yes,Rawalpindi,17412000.0,28,Negative,Not Contacted,Low
Real Estate,Medium,Excellent,Medium,Yes,Quetta,457000.0,116,Neutral,Scheduled,Medium
Finance,Small,Good,High,Yes,Islamabad,1450000.0,397,Neutral,Scheduled,High
Retail,Large,Poor,Medium,No,Karachi,14542000.0,62,Neutral,Completed,Medium
Real Estate,Large,Good,Low,Yes,Karachi,1114000.0,33,No Response,Not Scheduled,Low
Marketing,Medium,Excellent,High,Yes,Faisalabad,1201000.0,199,No Response,Completed,High
Finance,Small,Average,Low,Yes,Peshawar,341000.0,903,No Response,Scheduled,Low
Finance,Small,Average,Low,No,Peshawar,361000.0,246,Positive,Scheduled,Low
Manufacturing,Small,Good,High,Yes,Islamabad,4012000.0,70,No Response,Not Contacted,Medium
Manufacturing,Medium,Average,High,Yes,Quetta,1137000.0,100,Neutral,Not Scheduled,Medium
Education,Small,Average,Medium,Yes,Peshawar,1251000.0,132,No Response,Not Scheduled,Low
Retail,Small,Poor,Low,Yes,Faisalabad,7522000.0,245,No Response,Scheduled,Low
Healthcare,Small,Good,High,Yes,Islamabad,881000.0,168,Neutral,Not Scheduled,Medium
Marketing,Small,Average,Medium,No,Karachi,2529000.0,159,Positive,Scheduled,Medium
Technology,Small,Good,Medium,Yes,Multan,3208000.0,39,Neutral,Not Scheduled,Low
Education,Large,Average,Medium,Yes,Karachi,304000.0,113,No Response,Scheduled,Low
Retail,Small,Poor,Medium,Yes,Rawalpindi,5342000.0,51,Positive,Scheduled,Medium
Healthcare,Medium,Average,High,Yes,Quetta,3265000.0,610,Negative,Not Contacted,Medium
Technology,Medium,Average,Medium,Yes,Quetta,188000.0,55,No Response,Not Contacted,Low
Manufacturing,Small,Good,Medium,Yes,Multan,3893000.0,100,No Response,Not Scheduled,Low
Manufacturing,Small,Excellent,Low,Yes,Karachi,4933000.0,211,No Response,Not Scheduled,Low
Finance,Small,Good,Medium,Yes,Karachi,1010000.0,67,No Response,Not Contacted,Low
Manufacturing,Small,,Low,No,Peshawar,5019000.0,46,No Response,Scheduled,Low
Real Estate,Small,Good,Low,No,Multan,588000.0,157,Positive,Not Contacted,Low
Education,Medium,Good,Low,Yes,Rawalpindi,3448000.0,218,No Response,Not Contacted,Low
Technology,Medium,Good,Medium,Yes,Islamabad,498000.0,244,Positive,Completed,High
Technology,Medium,Good,Low,Yes,Faisalabad,962000.0,49,Positive,Completed,High
Retail,Small,Average,High,Yes,Quetta,615000.0,59,,Not Contacted,Low
Healthcare,Small,Average,Low,Yes,Rawalpindi,5631000.0,128,No Response,Scheduled,Low
Education,Medium,Good,High,Yes,Lahore,3836000.0,92,Positive,Scheduled,High
Marketing,Small,Good,Medium,Yes,Faisalabad,435000.0,168,Neutral,Scheduled,Medium
Healthcare,Medium,Poor,Low,Yes,Quetta,375000.0,258,Positive,Scheduled,Medium
Manufacturing,Medium,Good,Low,Yes,Multan,454000.0,112,Positive,Not Contacted,Medium
Marketing,Medium,Average,High,Yes,Karachi,2273000.0,102,Neutral,Not Contacted,Medium
Technology,Small,Poor,High,Yes,Islamabad,5826000.0,33,Positive,Not Contacted,Low
Retail,Medium,Average,Medium,Yes,Lahore,442000.0,134,No Response,Not Scheduled,Low
Manufacturing,Medium,Average,High,Yes,Rawalpindi,801000.0,48,Positive,Not Contacted,Medium
Manufacturing,Large,Poor,High,Yes,Quetta,3230000.0,208,Neutral,Not Scheduled,Medium
Manufacturing,Medium,Excellent,High,Yes,Peshawar,1501000.0,171,Negative,Not Scheduled,Medium
Marketing,Small,Good,High,Yes,Rawalpindi,672000.0,30,Positive,Not Scheduled,Medium
Education,Medium,Good,Medium,Yes,Karachi,4680000.0,47,Neutral,Scheduled,High
Real Estate,Small,Excellent,Medium,Yes,Lahore,6445000.0,124,Negative,Scheduled,Medium
Manufacturing,Medium,Good,High,No,Quetta,411000.0,45,Neutral,Not Contacted,Low
Finance,Small,Good,Low,No,Lahore,2060000.0,139,Positive,Completed,Medium
Healthcare,Medium,Excellent,Low,Yes,Islamabad,1598000.0,51,No Response,Not Contacted,Low
Manufacturing,Small,Excellent,,Yes,Rawalpindi,312000.0,277,Positive,Not Contacted,Medium
Technology,Large,Good,Low,Yes,Multan,636000.0,75,Neutral,Not Contacted,Medium
Marketing,Small,Good,Low,Yes,Rawalpindi,899000.0,68,Neutral,Not Contacted,Low
Technology,Medium,Average,Low,No,Quetta,587000.0,214,No Response,Not Contacted,Low
Healthcare,Small,Average,High,Yes,Peshawar,1496000.0,114,No Response,Completed,Medium
Real Estate,Large,Poor,Medium,Yes,Lahore,850000.0,111,No Response,Scheduled,Medium
Technology,Small,Excellent,Medium,Yes,Peshawar,538000.0,81,No Response,Not Contacted,Low
Manufacturing,Large,Average,High,Yes,Peshawar,961000.0,34,No Response,Scheduled,Medium
Technology,Large,Good,High,No,Faisalabad,401000.0,39,Neutral,Not Contacted,Medium
Manufacturing,Small,Average,Medium,No,Quetta,5492000.0,166,Positive,Scheduled,Low
Healthcare,Medium,Average,Low,Yes,Lahore,141000.0,51,Positive,Not Contacted,Low
Technology,Large,Excellent,Low,Yes,Lahore,4841000.0,302,No Response,Scheduled,High
Technology,Medium,Excellent,Low,Yes,Peshawar,163000.0,186,Positive,Not Contacted,High
Technology,Medium,Poor,Medium,Yes,Lahore,6100000.0,321,No Response,Not Scheduled,Low
Finance,Large,Good,Low,No,Quetta,10701000.0,202,Positive,Completed,High
Technology,Large,Good,Low,Yes,Peshawar,,28,Positive,Scheduled,High
Retail,Small,Good,Medium,Yes,Karachi,1539000.0,100,No Response,Scheduled,Low
Manufacturing,Large,Good,High,Yes,Karachi,3947000.0,337,Negative,Not Scheduled,High
Marketing,Small,Good,High,Yes,Quetta,4251000.0,437,Neutral,Not Contacted,Medium
Technology,Large,Excellent,Low,Yes,Islamabad,1307000.0,33,Neutral,Completed,High
Manufacturing,Small,Good,Medium,No,Karachi,360000.0,74,Positive,Scheduled,Medium
